poetID,value,value,sourceNpv,sourceNpv,ccy,maturityDate,ttm,maID,gpName,notional
10273321,53.226352512924045,52.7795620235337,186539.3473,186193.4242,EUR,2017-05-22,1.894592,DRV-20009511-96,VBREUTLINGEN,3000000.0000
10274361,10915.013816049031,10729.449461461794,546477.0123,543248.6631,EUR,2019-10-01,4.254620,DRV-20023132-09,GWGSTG,4120000.0000
10275795,37.22489177112302,38.34881947643941,310528.2809,310309.6259,EUR,2016-08-24,1.152635,DRV-15012976-05,RBUMGDEISENH,5000000.0000
10277160,6.344199905078276,8.00861072738413,291951.9611,291952.8711,EUR,2015-08-24,0.150581,DRV-15013854-01,VBPADERBORN,10000000.0000
10278616,43236.80260931602,40515.83156472557,2445109.6931,2439996.1454,EUR,2039-08-24,24.150581,DRV-20000250-00,RBSUEDLWEINS,5000000.0000
10281757,10.55968924439686,11.156133906018276,62848.0956,62787.5190,EUR,2016-11-25,1.407255,DRV-20000197-04,VBSCHOPFHEIM,1000000.0000
10281780,17.479689728179494,18.393022741363968,63700.1473,63567.3343,EUR,2017-05-25,1.902806,DRV-20000197-04,VBSCHOPFHEIM,1000000.0000
10281798,27.625484556320878,28.9380505548627,96527.1845,96284.3368,EUR,2017-11-27,2.412046,DRV-20000197-04,VBSCHOPFHEIM,1000000.0000
10284386,2.579852994239293,2.5453176362110566,90240.8550,90241.1682,EUR,2015-08-31,0.169746,DRV-20000072-11,VBWEINGWALZB,3000000.0000
10289534,1087.355223921836,1064.0957435488162,1587642.4249,1579262.0925,EUR,2019-08-27,4.158795,DRV-20000141-05,VBBRETTEN,10000000.0000
10289538,0.0,0.0,-291583.8586,-291584.8116,EUR,2015-08-27,0.158795,DRV-20000141-05,VBBRETTEN,10000000.0000
10292558,16709.436841999108,16361.642683167627,586068.9445,586607.5439,CHF,2019-08-30,4.167008,DRV-10002633-09,HASSIAVILBEL,3595396.9772
10292600,50.64160345591244,50.161819525119284,189537.3765,189207.7235,EUR,2017-08-28,2.162902,DRV-15012853-96,RVFUERTH,2000000.0000
