runID,calcID,calcSubID,useGpu,productType,environment,model,hdbDate,version,state,filename,arg1,poetID,hostname,uname,timeout,cost,restartCnt,startTS,updateTS,cpuSeconds
3585076,2,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:18450865,dfriasiexp223,xnmiex16,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:06.44,7.50
3585076,3,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:18902484,dfriasiexp223,xnmiex6,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:06.67,7.22
3585076,4,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:1475048,dfhiasiexp204,xnmiex9,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:06.703,6.79
3585076,5,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:1475061,dfhiasiexp204,xnmiex2,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:07.083,6.13
3585076,6,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:3859707,dfriasiexp239,xnmiex11,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:06.746,5.19
3585076,7,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:3715501,dfhiasiexp204,xnmiex13,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:16.463,13.81
3585076,8,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:5457174,dfhiasiexp204,xnmiex5,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:08.953,6.32
3585076,9,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:6078245,dfhiasiexp204,xnmiex10,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:16.883,13.84
3585076,10,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:6148019,dfhiasiexp204,xnmiex12,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:09.52,6.07
3585076,11,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:7442948,dfhiasiexp204,xnmiex1,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:12.13,8.30
3585076,12,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:8004540,dfriasiexp239,xnmiex2,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:10.786,6.94
3585076,13,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:8283717,dfhiasiexp204,xnmiex4,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:20.093,16.13
3585076,14,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:8291536,dfhiasiexp204,xnmiex16,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:12.91,7.38
